configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,v8-pool-size,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0, 24474.292203469475
1,1,1,0,1,0,1, 27556.1801623059
10,1,0,1,1,1,0, 25675.06155596008
11,1,0,1,1,1,1, 28554.622136685266
12,0,0,1,1,1,1, 24690.077798435144
13,1,0,1,0,1,1, 27102.694820946046
14,0,1,1,1,0,0, 27572.667765897022
15,0,0,1,0,0,1, 24680.571700762877
16,1,1,1,1,0,1, 27002.505832541257
17,0,1,0,1,0,1, 25015.384461443788
18,0,1,0,0,1,0, 24053.32140288592
19,0,1,0,0,0,1, 25236.911506769804
2,1,0,1,1,0,0, 27471.09354182062
20,1,0,0,0,0,1, 27687.255833012623
21,0,0,0,0,0,1, 24890.481879729192
22,1,1,0,1,0,0, 26934.575915102218
23,0,1,1,0,1,0, 24287.525441182897
24,1,1,1,1,1,0, 28121.405732829775
25,0,1,1,0,0,1, 24238.722328468622
26,1,1,1,0,0,0, 26919.92936210535
27,0,0,1,0,1,0, 27701.905337049084
28,1,0,0,0,1,0, 27760.581639706514
29,1,1,0,0,1,1, 27819.58443104777
3,1,0,1,0,0,0, 27192.755849841604
4,1,1,1,1,1,1, 28007.752545904706
5,1,0,0,1,1,1, 27667.721729121935
6,1,0,0,1,0,1, 28096.122454140106
7,0,0,0,1,1,1, 28044.98415458395
8,0,0,1,1,0,1, 24836.081859725808
9,0,1,1,1,1,1, 24801.218235839748
