configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,v8-pool-size,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0, 123839.6227349733
1,1,1,0,1,0,1, 123132.23786685712
10,1,0,1,1,1,0, 125156.44555694619
11,1,0,1,1,1,1, 124121.06768942426
12,0,0,1,1,1,1, 125443.75729141838
13,1,0,1,0,1,1, 125838.55668209027
14,0,1,1,1,0,0, 125432.27096380903
15,0,0,1,0,0,1, 126366.33600808744
16,1,1,1,1,0,1, 125610.78242956374
17,0,1,0,1,0,1, 126708.98746848114
18,0,1,0,0,1,0, 126401.63614277822
19,0,1,0,0,0,1, 125639.66293391229
2,1,0,1,1,0,0, 123957.97824537482
20,1,0,0,0,0,1, 125538.87562361437
21,0,0,0,0,0,1, 125954.89555190287
22,1,1,0,1,0,0, 126448.46719168071
23,0,1,1,0,1,0, 126487.4929167004
24,1,1,1,1,1,0, 126265.01764553621
25,0,1,1,0,0,1, 126613.53118807808
26,1,1,1,0,0,0, 125425.03408425301
27,0,0,1,0,1,0, 125907.79520341664
28,1,0,0,0,1,0, 125643.45152612818
29,1,1,0,0,1,1, 125342.02705632996
3,1,0,1,0,0,0, 127228.24365226486
4,1,1,1,1,1,1, 126569.78171775443
5,1,0,0,1,1,1, 125502.95308448609
6,1,0,0,1,0,1, 126225.0137585265
7,0,0,0,1,1,1, 126387.57761777111
8,0,0,1,1,0,1, 125621.03901161367
9,0,1,1,1,1,1, 125780.46780271584
