configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,v8-pool-size,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0, 0.01541102626205553
1,1,1,0,1,0,1, 0.015677538052927164
10,1,0,1,1,1,0, 0.015657023309239102
11,1,0,1,1,1,1, 0.015512644764404684
12,0,0,1,1,1,1, 0.015558772242496844
13,1,0,1,0,1,1, 0.015628258347300975
14,0,1,1,1,0,0, 0.015505443022281634
15,0,0,1,0,0,1, 0.015361348310888801
16,1,1,1,1,0,1, 0.015508431130746608
17,0,1,0,1,0,1, 0.01572323247167193
18,0,1,0,0,1,0, 0.015571001621165318
19,0,1,0,0,0,1, 0.015596229348535856
2,1,0,1,1,0,0, 0.015507469148685287
20,1,0,0,0,0,1, 0.0156010252296606
21,0,0,0,0,0,1, 0.015618697860136782
22,1,1,0,1,0,0, 0.0156714967701038
23,0,1,1,0,1,0, 0.015602927315540879
24,1,1,1,1,1,0, 0.015506691906836442
25,0,1,1,0,0,1, 0.015515231458296842
26,1,1,1,0,0,0, 0.015613678525644027
27,0,0,1,0,1,0, 0.015598435407336856
28,1,0,0,0,1,0, 0.01549593054256108
29,1,1,0,0,1,1, 0.01560266077436031
3,1,0,1,0,0,0, 0.015689776934284538
4,1,1,1,1,1,1, 0.015596408423885339
5,1,0,0,1,1,1, 0.01551924121197514
6,1,0,0,1,0,1, 0.015634827241485738
7,0,0,0,1,1,1, 0.015625109896330223
8,0,0,1,1,0,1, 0.015576292136845528
9,0,1,1,1,1,1, 0.015597274760510487
