configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,v8-pool-size,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0, 26104.139855539688
1,1,1,0,1,0,1, 26195.016660030597
10,1,0,1,1,1,0, 25682.644696020216
11,1,0,1,1,1,1, 25828.314030973313
12,0,0,1,1,1,1, 26529.06922760615
13,1,0,1,0,1,1, 25871.949373769465
14,0,1,1,1,0,0, 25897.67827314281
15,0,0,1,0,0,1, 25533.71855203389
16,1,1,1,1,0,1, 26167.11892170536
17,0,1,0,1,0,1, 25634.189857063757
18,0,1,0,0,1,0, 26250.784242179237
19,0,1,0,0,0,1, 25859.438436434913
2,1,0,1,1,0,0, 25847.67448472661
20,1,0,0,0,0,1, 25828.51416306574
21,0,0,0,0,0,1, 26272.025809638155
22,1,1,0,1,0,0, 26028.78783935032
23,0,1,1,0,1,0, 24335.400219992018
24,1,1,1,1,1,0, 26456.986231784365
25,0,1,1,0,0,1, 26511.90782339888
26,1,1,1,0,0,0, 25704.82633819326
27,0,0,1,0,1,0, 26086.911153197994
28,1,0,0,0,1,0, 26560.77769957104
29,1,1,0,0,1,1, 26131.630247884645
3,1,0,1,0,0,0, 25870.142234042003
4,1,1,1,1,1,1, 26140.032152239546
5,1,0,0,1,1,1, 25968.36014999325
6,1,0,0,1,0,1, 26080.9238906479
7,0,0,0,1,1,1, 26348.794806125567
8,0,0,1,1,0,1, 25871.413898640974
9,0,1,1,1,1,1, 24973.465692701506
