configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,v8-pool-size,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0, 86.17682613797714
1,1,1,0,1,0,1, 73.58382702537486
10,1,0,1,1,1,0, 82.58186276019482
11,1,0,1,1,1,1, 118.5776281486214
12,0,0,1,1,1,1, 102.18193566432166
13,1,0,1,0,1,1, 87.57925000593875
14,0,1,1,1,0,0, 82.18146058568871
15,0,0,1,0,0,1, 108.76651250930928
16,1,1,1,1,0,1, 86.5728198052687
17,0,1,0,1,0,1, 87.57535361568674
18,0,1,0,0,1,0, 98.37969134258458
19,0,1,0,0,0,1, 106.33920744892171
2,1,0,1,1,0,0, 91.78703796300073
20,1,0,0,0,0,1, 104.58138129302328
21,0,0,0,0,0,1, 76.77302056330508
22,1,1,0,1,0,0, 84.57011961768059
23,0,1,1,0,1,0, 91.18882958722875
24,1,1,1,1,1,0, 101.17999147456192
25,0,1,1,0,0,1, 85.57357267296041
26,1,1,1,0,0,0, 77.5806408216958
27,0,0,1,0,1,0, 107.78666256460359
28,1,0,0,0,1,0, 113.17880029783012
29,1,1,0,0,1,1, 86.38611769905408
3,1,0,1,0,0,0, 95.77210861443339
4,1,1,1,1,1,1, 82.578958088721
5,1,0,0,1,1,1, 84.77610471888518
6,1,0,0,1,0,1, 78.58011668448304
7,0,0,0,1,1,1, 110.97141110118648
8,0,0,1,1,0,1, 92.17645789299533
9,0,1,1,1,1,1, 80.5787561039305
